Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy,GDP Per Capita,Literacy Rate,Life expectancy
Palau,Oceania,Micronesia,Micronesia,286202700,26.97033263,94000,72.1,66.3,1.4205,18092,6.25,66.4021225,43.91727066,320,1,15819.29582,55.15969658,69.2
Panama,Americas,Latin America and the Caribbean,Central America,49446497565,63.62841477,2494000,81.756,75.421,1.5687,4314768,22.53521127,58.59022141,37.3071785,18010,0,11459.82763,47.94869995,78.5885
Papua New Guinea,Oceania,Melanesia,Melanesia,23142440303,11.20919659,211000,65.82,63.271,0.0699,8947027,0,1.282699943,2.249959946,22970,0,2586.606736,1.766329944,64.5455
Paraguay,Americas,Latin America and the Caribbean,South America,34155784530,68.51762842,4368000,76.396,72.263,1.3544,7132530,16.25,40.88206863,28.64208984,49170,0,4788.733385,34.76207924,74.3295
Peru,Americas,Latin America and the Caribbean,South America,1.95376E+11,59.9505036,5275000,79.507,74.06,1.3048,32971846,26.15384615,72.67321014,68.73429871,96280,0,5925.529076,70.70375443,76.7835
Philippines,Asia,South-eastern Asia,South-eastern Asia,3.89324E+11,43.02661187,8261000,75.505,67.263,0.6004,109581085,27.96052632,40.41902161,30.77703094,232340,0,3552.838698,35.59802628,71.384
Poland,Europe,Eastern Europe,Eastern Europe,5.761E+11,84.51645192,88515000,81.8,74.1,2.3788,37950802,28.69565217,82.98145294,54.81766129,389650,1,15180.18414,68.89955711,77.95
Portugal,Europe,Southern Europe,Southern Europe,2.27792E+11,75.34637155,17174000,83.5,78,5.124,10305564,40,70.0112381,61.28699875,66820,1,22103.82437,65.64911842,80.75
Puerto Rico,Americas,Latin America and the Caribbean,Caribbean,70186900000,70.8743212,4931000,83.498,76.529,1.75,3194034,,135.1589966,85.67967224,2857.9248,1,21974.37472,110.4193344,80.0135
Qatar,Asia,Western Asia,Western Asia,1.43321E+11,99.65280421,2136500,82.01,79.142,2.4852,2881060,9.756097561,56.57088089,7.322060108,99830,1,49745.96723,31.9464705,80.576
Romania,Europe,Eastern Europe,Eastern Europe,2.44536E+11,73.65748258,12815000,79.3,71.8,2.9807,19286123,21.88449848,57.41595078,45.0736618,109010,0,12679.38026,51.24480629,75.55
Russian Federation,Europe,Eastern Europe,Eastern Europe,1.4487E+12,82.64216187,24419000,78.17,68.24,4.0139,144104080,15.77777778,91.72387695,77.75325012,2543400,0,10053.18251,84.73856354,73.205
Rwanda,Africa,Sub-Saharan Africa,Eastern Africa,10097234351,21.76763262,1634000,71.132,66.821,0.134,12952209,61.25,5.682020187,6.799280167,6170,0,779.5762369,6.240650177,68.9765
Samoa,Oceania,Polynesia,Polynesia,783561272.1,33.61093932,181000,75.464,71.324,0.3445,198410,10,20.30426025,9.585889816,690,0,3949.202521,14.94507504,73.394
San Mari0,Europe,Southern Europe,Southern Europe,,60.18230126,1904000,86.8,84.1,6.1094,33938,33.33333333,44.41687012,57.62514877,,0,0,51.02100945,85.45
